date,domain,source_ip,source_port,destination_ip,destination_port,status,prediction
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51946,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51946,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:14,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:15,,120.241.118.153,20054,10.21.250.9,51914,ALLOW,Normal
2024-06-13 09:12:15,,120.241.118.152,20054,10.21.250.9,51918,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:15,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51948,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51935,ALLOW,Normal
2024-06-13 09:12:16,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.148,20038,10.21.250.9,51944,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
2024-06-13 09:12:17,,120.233.205.146,20038,10.21.250.9,51942,ALLOW,Normal
